transcript_id	blastx_id	blastx_full	Higher_expression
TRINITY_DN38698_c0_g1_i1	UBPB_DICDI	Ubiquitin hydrolase B	
TRINITY_DN38729_c0_g1_i3	PPR94_ARATH	Pentatricopeptide repeat-containing protein At1g62910	
TRINITY_DN38661_c0_g2_i1	.	.	
TRINITY_DN38661_c0_g3_i1	MGST3_MOUSE	Microsomal glutathione S-transferase 3 {ECO:0000305}	
TRINITY_DN38661_c0_g3_i2	.	.	
TRINITY_DN93432_c0_g1_i1	.	.	
TRINITY_DN93504_c0_g1_i1	CYC_CHLRE	Cytochrome c	
TRINITY_DN93445_c0_g1_i1	NUCL2_ORYSJ	Nucleolin 2	
TRINITY_DN4665_c0_g1_i14	SKL1_ARATH	Probable inactive shikimate kinase like 1, chloroplastic	
TRINITY_DN4665_c0_g1_i19	SKL1_ARATH	Probable inactive shikimate kinase like 1, chloroplastic	
TRINITY_DN4672_c0_g1_i16	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840	
TRINITY_DN4672_c0_g1_i22	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840	
TRINITY_DN4672_c0_g1_i4	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840	6A
TRINITY_DN4672_c0_g1_i6	Y1534_ARATH	Probable LRR receptor-like serine/threonine-protein kinase At1g53420	
TRINITY_DN4672_c1_g1_i36	RKF1_ARATH	Probable LRR receptor-like serine/threonine-protein kinase RFK1	
TRINITY_DN4672_c1_g3_i3	RKF1_ARATH	Probable LRR receptor-like serine/threonine-protein kinase RFK1	
TRINITY_DN4672_c2_g1_i10	ASI1_ARATH	Protein ANTI-SILENCING 1 {ECO:0000303|PubMed:24003136}	
TRINITY_DN4672_c2_g1_i6	ASI1_ARATH	Protein ANTI-SILENCING 1 {ECO:0000303|PubMed:24003136}	
TRINITY_DN4600_c0_g3_i2	ODPB3_ARATH	Pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic	
TRINITY_DN4600_c0_g3_i4	ODPB2_ARATH	Pyruvate dehydrogenase E1 component subunit beta-2, chloroplastic	
TRINITY_DN4656_c0_g1_i2	.	.	
TRINITY_DN4671_c0_g1_i3	XB31_ARATH	Putative E3 ubiquitin-protein ligase XBAT31	
TRINITY_DN4622_c0_g1_i5	P2C04_ORYSJ	Protein kinase and PP2C-like domain-containing protein	
TRINITY_DN4647_c0_g1_i3	DIR20_ARATH	Dirigent protein 20	
TRINITY_DN4647_c0_g1_i4	DIR20_ARATH	Dirigent protein 20	
TRINITY_DN4647_c0_g1_i5	DIR20_ARATH	Dirigent protein 20	
TRINITY_DN4683_c0_g1_i4	.	.	
TRINITY_DN4646_c0_g1_i3	TRM32_ARATH	Protein TRM32	
TRINITY_DN4624_c0_g1_i2	.	.	
TRINITY_DN4624_c0_g1_i3	.	.	
TRINITY_DN4624_c0_g1_i4	.	.	
TRINITY_DN4624_c0_g1_i6	.	.	
TRINITY_DN4601_c0_g1_i16	.	.	
TRINITY_DN4668_c0_g1_i2	MD26B_ARATH	Probable mediator of RNA polymerase II transcription subunit 26b	
TRINITY_DN4651_c0_g1_i2	PNSL4_ARATH	Photosynthetic NDH subunit of lumenal location 4, chloroplastic {ECO:0000303|PubMed:21785130}	
