"Gene","A","M","Type"
"ENSG00000133124",11.5684818596314,-14.3944613721111,"DEG"
"ENSG00000105369",11.2329215990524,11.9257655904253,"DEG"
"ENSG00000135144",11.058144454567,10.9218954981575,"DEG"
"ENSG00000111348",10.9221810886467,13.7971965814526,"DEG"
"ENSG00000012124",10.2949955938757,10.1716773508643,"DEG"
"ENSG00000118308",10.6136982796789,13.4941346524935,"DEG"
"ENSG00000177606",10.8150080351419,-9.7318827773131,"DEG"
"ENSG00000046604",10.1100272244548,-12.9062795980728,"DEG"
"ENSG00000100721",11.5326561183044,14.3991780846882,"DEG"
"ENSG00000213402",9.6421657031006,10.3649903272198,"DEG"
"ENSG00000166165",10.1404378815259,-8.64865788499022,"DEG"
"ENSG00000121966",9.90461834688008,6.42335392516486,"DEG"
"ENSG00000149418",10.1893462347396,10.89955994542,"DEG"
"ENSG00000197943",10.4505056577703,4.78652993373023,"DEG"
"ENSG00000139193",9.65866836459461,12.5591037863936,"DEG"
"ENSG00000007312",9.25448404068542,12.1653560089419,"DEG"
"ENSG00000136490",10.3078906820609,4.87874341563482,"DEG"
"ENSG00000100504",9.78679759325987,-7.50566815562259,"DEG"
"ENSG00000110777",10.976599434785,13.8503690044157,"DEG"
"ENSG00000019582",9.2252586053648,12.1367702719623,"DEG"
"ENSG00000132465",9.39512746721702,12.3026606237052,"DEG"
"ENSG00000189060",9.68619113640771,-7.61742856501346,"DEG"
"ENSG00000156738",9.37047690260793,12.2786320499846,"DEG"
"ENSG00000154237",9.84265882409576,6.42672058813928,"DEG"
"ENSG00000170689",9.27664763916123,-12.0459018296316,"DEG"
"ENSG00000140968",9.25321600471137,6.39439517932605,"DEG"
"ENSG00000137642",10.4848748054173,6.66319172995383,"DEG"
"ENSG00000180448",9.36557424680923,5.2760239648539,"DEG"
"ENSG00000134954",9.77956467297957,9.14184373407516,"DEG"
"ENSG00000149781",8.82144158913824,9.56440999495795,"DEG"
"ENSG00000136573",8.73410518513677,9.47901037250984,"DEG"
"ENSG00000071564",11.3067956950067,3.85898810208781,"DEG"
"ENSG00000160117",8.79513712806758,8.70617332867282,"DEG"
"ENSG00000102879",9.0641013662465,7.75456825300506,"DEG"
"ENSG00000054598",9.13237121157678,-9.40254792508446,"DEG"
"ENSG00000104814",8.7279659950519,6.77051447339855,"DEG"
"ENSG00000074370",8.88088938669402,5.9326110078531,"DEG"
"ENSG00000096433",10.6363092994167,3.33043579503502,"DEG"
"ENSG00000134046",9.47142967636644,5.22282888483107,"DEG"
"ENSG00000134802",8.45211092983205,11.3837518659543,"DEG"
"ENSG00000204287",8.53462221980203,11.4644512078834,"DEG"
"ENSG00000184922",8.85527079158632,5.0910850335032,"DEG"
"ENSG00000110031",8.65341597797057,5.79969139161877,"DEG"
"ENSG00000101846",8.63465820340306,5.29250353945569,"DEG"
"ENSG00000028277",8.6202076084893,8.00863097758804,"DEG"
"ENSG00000105426",8.61690951336815,-11.3598094017447,"DEG"
"ENSG00000171298",8.86226535826592,-5.55006830708539,"DEG"
"ENSG00000166598",9.98909032538355,-3.51340368252477,"DEG"
"ENSG00000173020",10.6135958968193,2.89668252690948,"DEG"
"ENSG00000185862",8.00459799969732,10.945716176445,"DEG"
"ENSG00000198752",9.07398933551696,-4.26715626435341,"DEG"
"ENSG00000157483",9.68949414629629,3.21847621154398,"DEG"
"ENSG00000103522",8.33984352582062,8.25941306423592,"DEG"
"ENSG00000166888",9.759112686496,3.29514447861384,"DEG"
"ENSG00000104964",10.2590069193461,2.82349061074136,"DEG"
"ENSG00000111732",7.76483839030802,10.7095723167039,"DEG"
"ENSG00000123338",7.7641955099199,7.69350394670921,"DEG"
"ENSG00000241519",10.1560276173494,2.99802328414271,"DEG"
"ENSG00000198211",8.32175827070368,4.65959684303878,"DEG"
"ENSG00000129675",8.67457252019634,3.86013988225097,"DEG"
"ENSG00000111344",7.63377517980116,8.398974374621,"DEG"
"ENSG00000213445",8.96504403532137,3.30873242941618,"DEG"
"ENSG00000180096",8.3038795374081,4.37732419068877,"DEG"
"ENSG00000143603",7.58936760342891,8.35484577751843,"DEG"
"ENSG00000114631",8.18316548965859,-10.9065818813758,"DEG"
"ENSG00000143878",8.09616903913787,-10.8160462179664,"DEG"
"ENSG00000177455",7.82040024297855,7.22212887302294,"DEG"
"ENSG00000060982",10.050363830431,2.57257069101017,"DEG"
"ENSG00000165914",8.0152018263587,-10.7311105455437,"DEG"
"ENSG00000116962",8.00622939935619,-10.7216570788446,"DEG"
"ENSG00000159753",9.19241380960172,4.90664838488904,"DEG"
"ENSG00000107731",8.00332714028264,-10.7186123608178,"DEG"
"ENSG00000167972",8.35479750285899,-5.81687755933168,"DEG"
"ENSG00000189057",7.59940731815976,10.5467513107835,"DEG"
"ENSG00000130881",7.9508046258412,-10.6636217431778,"DEG"
"ENSG00000139626",7.64687925180942,7.0491959728083,"DEG"
"ENSG00000205744",7.65885590150821,6.3671755495681,"DEG"
"ENSG00000023445",7.52882045451364,8.29460983822625,"DEG"
"ENSG00000184014",9.38210547680558,-3.11254240678819,"DEG"
"ENSG00000108861",8.34180124212034,-5.1031798499718,"DEG"
"ENSG00000102870",8.33032898226515,-5.09144190488018,"DEG"
"ENSG00000166402",7.91701362213061,-10.6281155530614,"DEG"
"ENSG00000005844",7.57686682867992,10.5246682675211,"DEG"
"ENSG00000142539",7.62852363664081,7.5583573313472,"DEG"
"ENSG00000196684",7.35422532149172,10.3032630101625,"DEG"
"ENSG00000184992",8.80736521154533,3.58781793954897,"DEG"
"ENSG00000066336",7.68076864611783,8.4445622498124,"DEG"
"ENSG00000197256",8.86143098260112,3.2790522323003,"DEG"
"ENSG00000167483",7.71262312783556,8.47818956334226,"DEG"
"ENSG00000132819",8.75391857591203,3.14418843114002,"DEG"
"ENSG00000137078",7.72292038558373,10.6671724151557,"DEG"
"ENSG00000154319",7.78331048772778,5.02414676712543,"DEG"
"ENSG00000166681",7.77189277180608,-10.4759078450576,"DEG"
"ENSG00000130475",7.89652974069681,4.68917507853383,"DEG"
"ENSG00000111897",9.18179851631741,-3.70635608778504,"DEG"
"ENSG00000100290",7.272270879608,10.2215626273178,"DEG"
"ENSG00000128714",7.73471276104764,-10.4370142587819,"DEG"
"ENSG00000070214",9.33574909482297,2.99952410259267,"DEG"
"ENSG00000137831",7.68822199069806,-10.3881356257859,"DEG"
"ENSG00000140545",7.92847488719058,-6.34073252217399,"DEG"
"ENSG00000104894",7.79850365187422,8.5636126059761,"DEG"
"ENSG00000068793",7.74545150229129,-7.95222784198114,"DEG"
"ENSG00000144647",7.71363939246426,-7.91888338216115,"DEG"
"ENSG00000092820",9.27637413542433,2.91354976381688,"DEG"
"ENSG00000100368",7.32143817804778,10.2701591432153,"DEG"
"ENSG00000152192",7.93635296659962,-6.34829252415249,"DEG"
"ENSG00000187079",7.69904148115053,-7.90346858535599,"DEG"
"ENSG00000198561",8.34003488980994,-4.54527022712678,"DEG"
"ENSG00000067141",7.99281829939511,-6.09753760239079,"DEG"
"ENSG00000105655",8.25560868551041,-4.304611822192,"DEG"
"ENSG00000184524",7.35813727630823,7.28860382130488,"DEG"
"ENSG00000148798",7.72137361290117,-7.0571563252855,"DEG"
"ENSG00000072110",7.78472624659274,-10.4889637349954,"DEG"
"ENSG00000132718",8.00804933445636,5.35854045451583,"DEG"
"ENSG00000127074",7.38692307302106,10.3368474604154,"DEG"
"ENSG00000101265",7.80614527289173,4.84967741945723,"DEG"
"ENSG00000198816",7.80128065968377,-10.5061611657417,"DEG"
"ENSG00000188636",7.57555143276032,-7.77317443194742,"DEG"
"ENSG00000198732",7.67491765333872,-6.4668217748241,"DEG"
"ENSG00000162337",8.48159824756831,-3.57828273970725,"DEG"
"ENSG00000101856",9.05769694481102,-2.78626615009378,"DEG"
"ENSG00000141968",7.43747446717368,5.02192133266389,"DEG"
"ENSG00000076513",9.34430944040942,2.55890279930816,"DEG"
"ENSG00000165300",7.59016697099225,-10.2848238959309,"DEG"
"ENSG00000145911",7.56897819279184,4.51547843810659,"DEG"
"ENSG00000165716",7.60358690676169,-6.39100359848915,"DEG"
"ENSG00000012822",7.747566897357,-5.36128490324155,"DEG"
"ENSG00000174672",7.43086791895376,-10.117499946978,"DEG"
"ENSG00000140853",7.04998768864581,9.99960382252813,"DEG"
"ENSG00000175898",7.96717664158878,5.84708746592877,"DEG"
"ENSG00000089639",7.95282827975257,4.01038213679872,"DEG"
"ENSG00000172183",6.93494912591571,9.88362844052111,"DEG"
"ENSG00000105329",8.97972650978735,2.55043961337388,"DEG"
"ENSG00000125503",9.25006146739288,2.50012527534962,"DEG"
"ENSG00000122986",7.04216328707338,7.80777444398974,"DEG"
"ENSG00000147180",7.41379488170175,-10.0995892337487,"DEG"
"ENSG00000065308",8.85265900293965,2.80918563823568,"DEG"
"ENSG00000151702",7.47900548834375,6.87996786010695,"DEG"
"ENSG00000187772",7.46593034668625,-10.1546307093203,"DEG"
"ENSG00000130303",7.09358641333643,10.0423684840078,"DEG"
"ENSG00000167984",7.02323713051734,7.78913503761865,"DEG"
"ENSG00000196700",7.49566958892901,-7.68909020602435,"DEG"
"ENSG00000099331",10.0901126731833,2.3185985882771,"DEG"
"ENSG00000170542",7.46420152567014,6.86493060823889,"DEG"
"ENSG00000067177",7.40080127233518,-10.0860490885576,"DEG"
"ENSG00000070018",7.48302475750848,-10.1728373842588,"DEG"
"ENSG00000177272",6.82559665651426,9.77307317072212,"DEG"
"ENSG00000125968",7.27961914603254,4.9972336579506,"DEG"
"ENSG00000162298",10.7095361316866,2.12924718744008,"DEG"
"ENSG00000076716",7.35909034132185,-10.041745921777,"DEG"
"ENSG00000102409",7.53263356205428,-10.2252722064845,"DEG"
"ENSG00000216490",7.75564005693255,3.65626999197081,"DEG"
"ENSG00000159388",8.0547636217082,3.24872479618973,"DEG"
"ENSG00000155792",7.14871328057888,6.16027097932426,"DEG"
"ENSG00000127666",7.63849264876228,4.34480231175034,"DEG"
"ENSG00000185338",6.85540942445011,7.61877273170497,"DEG"
"ENSG00000176624",8.67139266130191,2.6569297548729,"DEG"
"ENSG00000169992",7.5663373726818,-5.16689340360536,"DEG"
"ENSG00000161405",6.75616290463485,9.70271097836145,"DEG"
